Location,prov,Longitude,Latitude,HDD (NBCC),HDD (degC-day),CF_0.5C (degC-day),CF_1.0C (degC-day),CF_1.5C (degC-day),CF_2.0C (degC-day),CF_2.5C (degC-day),CF_3.0C (degC-day),CF_3.5C (degC-day)
Saguenay (Kénogami),QC,-71.25,48.42,5650,5740,-290,-510,-730,-960,-1190,-1380,-1560
Saint-Eustache,QC,-73.9,45.56,4500,4520,-270,-460,-660,-860,-1060,-1220,-1370
Saint-Jean-sur-Richelieu,QC,-73.26,45.31,4450,4480,-260,-450,-640,-830,-1020,-1170,-1330
Salaberry-de-Valleyfield,QC,-74.13,45.25,4400,4420,-250,-430,-620,-800,-990,-1140,-1290
Schefferville,QC,-66.83,54.8,8550,8265,-380,-660,-950,-1260,-1570,-1840,-2110
Senneterre,QC,-77.23,48.38,6180,6210,-310,-540,-780,-1030,-1290,-1490,-1690
Sept-Îles,QC,-66.38,50.2,6200,6250,-320,-560,-800,-1050,-1300,-1510,-1720
Shawinigan,QC,-72.75,46.55,5050,5155,-270,-470,-680,-900,-1110,-1290,-1460
Shawville,QC,-76.48,45.6,4880,4840,-260,-450,-650,-850,-1050,-1210,-1360
Sherbrooke,QC,-71.9,45.42,4700,4875,-250,-440,-630,-820,-1020,-1170,-1330
Sorel,QC,-73.12,46.03,4550,4650,-270,-480,-690,-890,-1100,-1260,-1430
Ste-Agathe-des-Monts,QC,-74.28,46.05,5390,5275,-280,-480,-690,-900,-1120,-1300,-1470
St-Félicien,QC,-72.45,48.65,5850,5905,-290,-510,-740,-970,-1200,-1390,-1570
St-Georges-de-Cacouna,QC,-69.5,47.92,5400,5465,-290,-510,-730,-960,-1190,-1370,-1560
St-Hubert,QC,-73.42,45.5,4490,4450,-260,-450,-640,-840,-1030,-1180,-1340
St-Hubert-de-Rivière-du-Loup,QC,-69.15,47.817,5520,5580,-290,-510,-730,-960,-1190,-1380,-1560
St-Hyacinthe,QC,-72.95,45.62,4500,4550,-260,-450,-640,-830,-1030,-1180,-1340
St-Jérôme,QC,-74,45.78,4820,4860,-270,-470,-680,-880,-1090,-1250,-1410
St-Jovite,QC,-74.6,46.12,5250,5315,-270,-460,-670,-880,-1090,-1270,-1440
St-Lazare-Hudson,QC,-74.14,45.4,4520,4565,-260,-450,-640,-840,-1030,-1190,-1340
St-Nicolas,QC,-71.4,46.7,4990,5060,-270,-480,-690,-900,-1120,-1300,-1470
Sutton,QC,-72.62,45.1,4600,4570,-250,-430,-610,-800,-980,-1130,-1270
Tadoussac,QC,-69.72,48.15,5450,5545,-290,-510,-750,-970,-1210,-1400,-1590
Témiscaming,QC,-79.1,46.72,5020,5270,-270,-470,-680,-890,-1110,-1290,-1470
Terrebonne,QC,-73.63,45.69,4500,4575,-260,-450,-650,-850,-1050,-1210,-1360
Thetford Mines,QC,-71.3,46.08,5120,5135,-270,-470,-670,-880,-1080,-1250,-1420
Thurso,QC,-75.25,45.6,4820,4835,-260,-450,-650,-850,-1050,-1210,-1360
Trois-Rivières,QC,-72.55,46.35,4900,4985,-270,-470,-680,-890,-1110,-1270,-1440
Val-d'Or,QC,-77.78,48.1,6180,6100,-310,-530,-770,-1020,-1270,-1470,-1670
Varennes,QC,-73.43,45.68,4500,4535,-260,-460,-660,-850,-1050,-1210,-1370
Verchères,QC,-73.35,45.78,4450,4535,-270,-470,-670,-870,-1070,-1230,-1390
Victoriaville,QC,-71.97,46.05,4900,4970,-260,-460,-660,-860,-1070,-1240,-1400
Ville-Marie,QC,-79.43,47.33,5550,5610,-280,-490,-710,-930,-1160,-1340,-1520
Wakefield,QC,-75.93,45.64,4820,4815,-260,-450,-650,-840,-1040,-1200,-1360
Waterloo,QC,-72.52,45.35,4650,4630,-250,-430,-620,-800,-990,-1150,-1300
